Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-19,188.132,188.831,184.278,186.12,350800,0.0,0.0
2022-08-22,183.494,184.722,182.937,183.589,217600,0.0,0.0
2022-08-23,184.231,184.76,182.04,182.758,219500,0.0,0.0
2022-08-24,182.965,184.288,181.898,182.975,213100,0.0,0.0
2022-08-25,183.806,185.45,183.457,184.845,231200,0.0,0.0
2022-08-26,185.166,185.166,177.874,178.309,280400,0.0,0.0
2022-08-29,176.93,177.884,175.664,175.674,295300,0.0,0.0
2022-08-30,175.56,176.798,172.377,173.936,445300,0.0,0.0
2022-08-31,175.296,175.296,172.84,173.435,459800,0.0,0.0
2022-09-01,172.878,175.693,171.773,175.22,402200,0.0,0.0
2022-09-02,176.628,178.724,174.455,175.192,432600,0.0,0.0
2022-09-06,176.51,177.231,173.599,174.054,323700,0.75,0.0
2022-09-07,174.035,179.279,173.162,178.929,326600,0.0,0.0
2022-09-08,177.25,179.792,176.434,179.289,286900,0.0,0.0
2022-09-09,180.531,181.935,179.687,181.186,468700,0.0,0.0
2022-09-12,181.906,183.509,181.556,182.134,513500,0.0,0.0
2022-09-13,177.79,178.891,174.784,175.135,376500,0.0,0.0
2022-09-14,174.765,175.524,169.122,170.886,524100,0.0,0.0
2022-09-15,170.697,173.826,169.739,170.099,631700,0.0,0.0
2022-09-16,166.239,166.315,161.422,164.419,957300,0.0,0.0
2022-09-19,163.574,170.592,163.518,169.985,393200,0.0,0.0
2022-09-20,167.776,167.776,164.969,166.751,273300,0.0,0.0
2022-09-21,168.212,169.729,163.982,164.011,353400,0.0,0.0
2022-09-22,163.764,163.764,160.141,160.189,345400,0.0,0.0
2022-09-23,158.406,159.942,154.603,157.069,683900,0.0,0.0
2022-09-26,156.756,157.714,154.129,155.219,408000,0.0,0.0
2022-09-27,157.372,158.662,152.943,154.584,375700,0.0,0.0
2022-09-28,155.76,158.795,153.778,158.055,549400,0.0,0.0
2022-09-29,155.997,155.997,153.095,155.153,412300,0.0,0.0
2022-09-30,155.551,157.334,153.863,154.299,519400,0.0,0.0
2022-10-03,155.75,160.473,154.916,159.421,823700,0.0,0.0
2022-10-04,162.095,166.306,162.095,164.817,587600,0.0,0.0
2022-10-05,162.123,164.238,160.653,162.977,449300,0.0,0.0
2022-10-06,162.664,163.537,160.265,161.317,301600,0.0,0.0
2022-10-07,159.459,160.141,155.902,156.983,311600,0.0,0.0
2022-10-10,158.33,158.7,155.333,156.841,330500,0.0,0.0
2022-10-11,155.864,159.781,155.788,157.78,449600,0.0,0.0
2022-10-12,158.216,159.468,154.954,155.02,257300,0.0,0.0
2022-10-13,150.876,158.88,149.159,157.751,447300,0.0,0.0
2022-10-14,159.089,160.464,157.126,157.913,882000,0.0,0.0
2022-10-17,160.559,161.829,159.819,160.748,346100,0.0,0.0
2022-10-18,164.646,166.476,163.261,164.248,386300,0.0,0.0
2022-10-19,163.489,164.921,161.479,162.427,216400,0.0,0.0
2022-10-20,162.844,164.921,159.44,160.009,353000,0.0,0.0
2022-10-21,160.293,162.702,159.857,162.209,476200,0.0,0.0
2022-10-24,163.48,165.187,161.298,164.656,586800,0.0,0.0
2022-10-25,164.068,168.563,162.901,167.871,622200,0.0,0.0
2022-10-26,166.192,168.449,154.299,154.812,1449900,0.0,0.0
2022-10-27,153.986,162.019,153.986,159.734,1186100,0.0,0.0
2022-10-28,160.075,163.65,158.539,162.768,565300,0.0,0.0
2022-10-31,162.778,163.982,160.644,160.796,484000,0.0,0.0
2022-11-01,162.835,162.835,158.216,160.065,436200,0.0,0.0
2022-11-02,159.847,162.749,156.395,156.955,542200,0.0,0.0
2022-11-03,155.798,160.663,154.527,158.899,428300,0.0,0.0
2022-11-04,162.133,166.78,161.848,165.547,621000,0.0,0.0
2022-11-07,166.628,167.539,164.978,167.045,446000,0.0,0.0
2022-11-08,168.165,171.655,164.665,166.998,733400,0.0,0.0
2022-11-09,165.547,166.562,158.804,161.792,847400,0.0,0.0
2022-11-10,168.136,173.513,167.453,173.238,694300,0.0,0.0
2022-11-11,173.419,175.733,171.617,174.338,699700,0.0,0.0
2022-11-14,173.381,176.207,171.18,171.228,561900,0.0,0.0
2022-11-15,174.263,176.482,172.821,175.714,510600,0.0,0.0
2022-11-16,175.789,177.278,174.775,176.918,421600,0.0,0.0
2022-11-17,175.922,177.297,174.907,176.254,738000,0.0,0.0
2022-11-18,178.729,179.479,176.396,178.502,612100,0.0,0.0
2022-11-21,177.601,179.498,176.766,179.412,391500,0.0,0.0
2022-11-22,180.19,181.65,178.862,181.423,500800,0.0,0.0
2022-11-23,181.527,183.794,181.404,183.044,793600,0.0,0.0
2022-11-25,183.794,183.794,181.186,182.428,186900,0.0,0.0
2022-11-28,181.119,182.513,177.572,178.037,349900,0.0,0.0
2022-11-29,177.601,179.829,177.022,178.691,351100,0.0,0.0
2022-11-30,178.236,183.623,175.922,183.348,600400,0.0,0.0
2022-12-01,184.562,185.425,181.992,183.196,391700,0.0,0.0
2022-12-02,180.759,183.746,180.351,182.656,376100,0.0,0.0
2022-12-05,180.503,182.172,177.847,181.48,660500,0.0,0.0
2022-12-06,181.518,183.108,179.08,181.832,512500,0.75,0.0
2022-12-07,182.051,184.66,181.803,182.575,463100,0.0,0.0
2022-12-08,183.612,183.822,168.817,170.635,1353500,0.0,0.0
2022-12-09,169.426,172.701,168.722,169.217,646900,0.0,0.0
2022-12-12,169.398,170.902,167.589,170.902,509800,0.0,0.0
2022-12-13,177.281,177.281,173.749,176.557,535700,0.0,0.0
2022-12-14,176.433,177.785,171.949,173.139,397000,0.0,0.0
2022-12-15,172.092,173.073,170.083,172.635,543500,0.0,0.0
2022-12-16,171.302,172.673,169.816,170.702,797400,0.0,0.0
2022-12-19,170.921,171.778,167.055,168.026,389000,0.0,0.0
2022-12-20,168.131,170.883,167.36,169.816,433300,0.0,0.0
2022-12-21,171.026,173.225,170.245,172.263,310700,0.0,0.0
2022-12-22,170.835,172.073,167.655,170.245,306800,0.0,0.0
2022-12-23,169.959,173.139,169.112,172.435,283400,0.0,0.0
2022-12-27,172.558,174.472,171.216,173.644,236300,0.0,0.0
2022-12-28,174.167,174.996,170.445,170.502,246700,0.0,0.0
2022-12-29,171.949,173.739,171.644,172.73,660100,0.0,0.0
2022-12-30,171.33,172.539,170.616,172.33,246400,0.0,0.0
2023-01-03,173.282,174.92,172.178,174.434,392000,0.0,0.0
2023-01-04,176.957,177.966,175.558,177.843,487100,0.0,0.0
2023-01-05,175.348,175.976,172.606,174.348,647600,0.0,0.0
2023-01-06,176.043,179.499,175.424,179.29,250300,0.0,0.0
2023-01-09,179.699,182.803,178.976,180.404,290500,0.0,0.0
2023-01-10,179.318,181.232,178.404,180.642,260300,0.0,0.0
2023-01-11,180.861,183.898,180.613,183.365,367100,0.0,0.0
2023-01-12,184.26,184.603,181.651,183.736,329400,0.0,0.0
2023-01-13,182.317,186.564,181.689,185.983,301300,0.0,0.0
2023-01-17,186.05,186.097,183.641,184.241,494500,0.0,0.0
2023-01-18,184.612,185.697,180.013,180.213,529900,0.0,0.0
2023-01-19,178.938,180.128,175.339,177.224,400100,0.0,0.0
2023-01-20,177.89,181.423,177.443,181.365,452600,0.0,0.0
2023-01-23,181.756,183.47,180.299,182.708,416200,0.0,0.0
2023-01-24,181.508,182.251,177.252,180.804,540200,0.0,0.0
2023-01-25,178.852,179.071,174.92,176.224,1140900,0.0,0.0
2023-01-26,177.633,179.633,175.567,179.128,387100,0.0,0.0
2023-01-27,177.824,179.452,176.595,178.471,320000,0.0,0.0
2023-01-30,177.671,179.204,176.148,176.738,413500,0.0,0.0
2023-01-31,177.786,180.547,176.586,180.366,445900,0.0,0.0
2023-02-01,178.709,183.765,177.195,182.479,540200,0.0,0.0
2023-02-02,174.872,180.756,174.872,179.528,1306900,0.0,0.0
2023-02-03,177.471,178.785,171.959,172.52,595200,0.0,0.0
2023-02-06,171.168,172.216,169.331,169.988,462000,0.0,0.0
2023-02-07,169.864,175.519,168.979,174.805,603900,0.0,0.0
2023-02-08,173.568,175.853,173.568,174.72,439600,0.0,0.0
2023-02-09,175.872,176.424,170.949,172.244,519000,0.0,0.0
2023-02-10,171.863,173.215,171.121,172.701,489100,0.0,0.0
2023-02-13,173.092,176.434,173.092,176.414,525400,0.0,0.0
2023-02-14,175.824,177.5,173.558,175.415,593100,0.0,0.0
2023-02-15,173.901,177.29,173.672,176.738,414000,0.0,0.0
2023-02-16,174.567,175.101,172.863,173.33,299700,0.0,0.0
2023-02-17,173.292,173.787,171.768,173.758,412000,0.0,0.0
2023-02-21,171.949,173.244,169.159,170.426,733400,0.0,0.0
2023-02-22,170.702,174.072,170.197,173.711,913600,0.0,0.0
2023-02-23,174.386,176.138,171.206,173.035,985300,0.0,0.0
2023-02-24,170.14,173.663,169.521,172.949,589200,0.0,0.0
2023-02-27,175.043,176.576,172.273,173.158,596400,0.0,0.0
2023-02-28,172.46,174.879,171.992,174.181,945700,0.75,0.0
2023-03-01,173.244,175.912,172.594,173.158,385400,0.0,0.0
2023-03-02,172.499,173.703,171.227,173.589,448700,0.0,0.0
2023-03-03,174.0,175.309,171.581,175.271,411000,0.0,0.0
2023-03-06,175.682,176.103,172.241,172.441,442000,0.0,0.0
2023-03-07,171.935,172.346,169.535,169.956,379300,0.0,0.0
2023-03-08,169.172,170.673,167.594,170.348,449700,0.0,0.0
2023-03-09,171.504,172.527,166.676,167.307,401500,0.0,0.0
2023-03-10,166.934,166.934,161.839,163.235,500800,0.0,0.0
2023-03-13,162.03,165.653,160.5,163.961,596100,0.0,0.0
2023-03-14,166.887,168.082,164.602,166.562,400500,0.0,0.0
2023-03-15,162.814,165.051,162.011,163.693,481000,0.0,0.0
2023-03-16,162.279,165.185,162.097,164.162,440000,0.0,0.0
2023-03-17,164.172,164.172,157.145,159.152,769300,0.0,0.0
2023-03-20,160.395,162.671,159.516,162.126,612300,0.0,0.0
2023-03-21,164.43,165.778,163.416,164.802,492100,0.0,0.0
2023-03-22,164.736,167.709,162.976,163.158,492200,0.0,0.0
2023-03-23,163.034,165.749,161.456,162.173,474000,0.0,0.0
2023-03-24,161.179,162.89,159.238,162.279,537200,0.0,0.0
2023-03-27,163.598,165.128,161.963,164.487,366700,0.0,0.0
2023-03-28,164.563,166.064,163.99,164.984,305000,0.0,0.0
2023-03-29,166.686,166.82,165.108,165.567,406200,0.0,0.0
2023-03-30,166.648,167.489,166.208,166.504,298400,0.0,0.0
2023-03-31,167.651,171.323,167.087,171.065,420800,0.0,0.0
2023-04-03,169.908,172.021,169.525,170.52,433600,0.0,0.0
2023-04-04,170.787,170.902,166.361,167.661,436400,0.0,0.0
2023-04-05,167.126,169.066,167.126,169.019,456400,0.0,0.0
2023-04-06,168.569,169.411,167.336,169.095,497500,0.0,0.0
2023-04-10,167.69,169.745,167.384,169.382,385400,0.0,0.0
2023-04-11,170.242,171.629,168.904,170.309,308500,0.0,0.0
2023-04-12,171.275,172.068,169.143,169.401,497000,0.0,0.0
2023-04-13,170.405,172.145,169.105,171.648,451000,0.0,0.0
2023-04-14,170.94,172.097,169.239,170.118,279400,0.0,0.0
2023-04-17,170.701,171.036,168.875,171.017,425700,0.0,0.0
2023-04-18,171.562,172.47,170.348,171.418,618800,0.0,0.0
2023-04-19,171.227,172.652,170.539,172.097,439700,0.0,0.0
2023-04-20,171.906,172.46,169.717,170.166,436000,0.0,0.0
2023-04-21,170.72,170.864,169.162,170.261,470100,0.0,0.0
2023-04-24,170.73,171.332,169.803,171.246,461600,0.0,0.0
2023-04-25,169.42,169.42,162.584,163.321,1083800,0.0,0.0
2023-04-26,159.659,163.101,154.783,157.862,1673000,0.0,0.0
2023-04-27,156.925,162.078,156.714,162.011,810900,0.0,0.0
2023-04-28,162.518,166.954,162.518,166.81,747900,0.0,0.0
2023-05-01,166.284,168.579,166.284,167.001,583000,0.0,0.0
2023-05-02,165.386,165.998,162.594,165.739,589000,0.0,0.0
2023-05-03,166.38,166.428,162.699,163.273,656000,0.0,0.0
2023-05-04,162.938,162.938,160.519,160.758,743300,0.0,0.0
2023-05-05,162.345,165.223,161.915,164.516,514300,0.0,0.0
2023-05-08,165.529,165.529,162.24,164.286,313900,0.0,0.0
2023-05-09,163.34,163.34,161.753,162.651,448900,0.0,0.0
2023-05-10,164.009,165.089,162.556,164.927,554100,0.0,0.0
2023-05-11,164.028,165.825,162.948,164.736,763400,0.0,0.0
2023-05-12,165.548,166.284,163.407,165.539,460000,0.0,0.0
2023-05-15,165.644,166.342,164.296,165.672,321500,0.0,0.0
2023-05-16,164.458,164.458,159.85,160.797,664600,0.0,0.0
2023-05-17,161.332,162.967,159.936,162.766,453500,0.0,0.0
2023-05-18,162.518,163.932,161.437,163.502,457600,0.0,0.0
2023-05-19,164.965,165.099,162.737,163.292,389400,0.0,0.0
2023-05-22,163.034,163.885,161.198,163.263,681700,0.0,0.0
2023-05-23,162.24,163.655,161.6,162.154,535800,0.0,0.0
2023-05-24,161.246,161.246,157.164,157.537,676700,0.0,0.0
2023-05-25,157.059,158.646,156.753,157.336,562800,0.0,0.0
2023-05-26,158.234,159.248,155.538,155.806,575200,0.0,0.0
2023-05-30,156.59,157.298,155.414,155.892,610800,0.0,0.0
2023-05-31,154.726,155.299,152.957,154.047,2481400,0.0,0.0
2023-06-01,154.429,154.831,151.944,152.24,806100,0.0,0.0
2023-06-02,154.2,159.181,154.037,159.018,507700,0.0,0.0
2023-06-05,159.468,160.28,157.766,158.722,526400,0.0,0.0
2023-06-06,158.232,161.345,158.232,160.941,480000,0.81,0.0
2023-06-07,160.788,165.534,160.394,165.149,508800,0.0,0.0
2023-06-08,164.102,164.832,157.156,159.721,693100,0.0,0.0
2023-06-09,159.808,160.086,155.946,156.138,669600,0.0,0.0
2023-06-12,156.753,160.259,155.974,159.231,393300,0.0,0.0
2023-06-13,159.577,163.247,159.577,161.643,428300,0.0,0.0
2023-06-14,162.69,163.699,159.933,160.528,346900,0.0,0.0
2023-06-15,159.961,162.536,159.913,162.43,330400,0.0,0.0
2023-06-16,163.132,165.197,161.844,164.371,922200,0.0,0.0
2023-06-20,162.94,164.217,160.682,161.441,382100,0.0,0.0
2023-06-21,160.951,163.535,159.99,163.122,480300,0.0,0.0
2023-06-22,162.901,162.901,159.904,161.316,449700,0.0,0.0
2023-06-23,159.433,161.758,158.905,161.258,931900,0.0,0.0
2023-06-26,161.191,162.997,160.759,162.546,455300,0.0,0.0
2023-06-27,163.074,164.467,161.114,163.708,323000,0.0,0.0
2023-06-28,163.334,163.334,158.338,158.972,614300,0.0,0.0
2023-06-29,157.771,161.854,157.396,161.393,413200,0.0,0.0
2023-06-30,162.056,165.409,160.836,165.053,424800,0.0,0.0
2023-07-03,164.861,166.783,164.861,166.667,259000,0.0,0.0
2023-07-05,164.006,164.169,161.364,162.008,612000,0.0,0.0
2023-07-06,160.788,163.17,160.317,163.007,453500,0.0,0.0
2023-07-07,163.016,166.168,162.805,164.909,578900,0.0,0.0
2023-07-10,162.748,167.599,162.69,166.466,507400,0.0,0.0
2023-07-11,167.369,170.087,166.763,169.982,596400,0.0,0.0
2023-07-12,171.711,173.834,170.539,170.933,710800,0.0,0.0
2023-07-13,171.557,173.354,170.76,172.672,518700,0.0,0.0
2023-07-14,172.912,173.171,169.905,171.413,318700,0.0,0.0
2023-07-17,170.376,171.855,169.319,169.838,496400,0.0,0.0
2023-07-18,169.309,171.115,169.069,170.376,596200,0.0,0.0
